COND,trip_energy_Wh,trip_rows,trip_distance_km
1,335.4521241357368,2749,76.39999999999782
2,280.7945753159198,2504,75.79999999999927
3,374.69472321036574,2500,76.29999999999927
4,333.06972213425206,2796,76.0
5,160.6422241525913,2552,68.90000000000146
6,300.7365122464179,2981,76.0
7,8375.942857370334,2813,76.20000000000073
8,7282.175996819976,2742,76.20000000000073
9,101.33037631897973,632,19.299999999999272
