COND,trip_energy_Wh,trip_rows,trip_distance_km
1,3354.521241656861,2749,76.39999999999782
2,2807.945752409042,2504,75.79999999999927
3,3746.947232396085,2500,76.29999999999927
4,3330.697220091081,2796,76.0
5,1606.4222422113126,2552,68.90000000000146
6,3007.3651227688997,2981,76.0
7,83759.4285750283,2813,76.20000000000073
8,72821.75996566971,2742,76.20000000000073
9,1013.3037635990137,632,19.299999999999272
