COND,Car Model,trip_energy_Wh,trip_rows,trip_distance_km,wh_per_km_raw
1.0,JAC iEV7s,337.2865894469747,2952.0,76.39999999999782,4.414745935169952
2.0,JAC iEV7s,281.5288394052316,2667.0,75.79999999999927,3.7141007837102156
3.0,JAC iEV7s,376.5861280189346,2652.0,76.29999999999927,4.935598008111903
4.0,JAC iEV7s,334.116255944471,3001.0,76.0,4.396266525585145
5.0,JAC iEV7s,162.22617198320407,2828.0,68.90000000000146,2.3545162842264244
6.0,JAC iEV7s,301.2341497495879,3221.0,76.0,3.9636072335472092
7.0,JAC iEV7s,8481.645717927931,3163.0,76.20000000000073,111.30768658697967
8.0,JAC iEV7s,7296.650452820203,2999.0,76.20000000000073,95.75656762231147
9.0,JAC iEV7s,100.60173847310742,794.0,88.40000000000146,1.138028715759115
1.0,Kia EV3,329.488055586929,2952.0,76.39999999999782,4.312670884645791
2.0,Kia EV3,275.01950207794306,2667.0,75.79999999999927,3.6282256210810777
3.0,Kia EV3,367.8789343075141,2652.0,76.29999999999927,4.821480135091974
4.0,Kia EV3,326.39102459315376,3001.0,76.0,4.29461874464676
5.0,Kia EV3,158.4752778333034,2828.0,68.90000000000146,2.3000766013541374
6.0,Kia EV3,294.2691983102911,3221.0,76.0,3.8719631356617246
7.0,Kia EV3,8285.53830248451,3163.0,76.20000000000073,108.73409845780094
8.0,Kia EV3,7127.941771830141,2999.0,76.20000000000073,93.54254293740253
9.0,Kia EV3,98.27568671650378,794.0,88.40000000000146,1.1117159130826038
1.0,Tesla Model 3 ,263.20051777654095,2952.0,76.39999999999782,3.445032955190425
2.0,Tesla Model 3 ,219.69013479599,2667.0,75.79999999999927,2.898286738733405
3.0,Tesla Model 3 ,293.86778776044025,2652.0,76.29999999999927,3.8514782144225825
4.0,Tesla Model 3 ,260.72655810695716,3001.0,76.0,3.430612606670489
5.0,Tesla Model 3 ,126.59267755914769,2828.0,68.90000000000146,1.8373392969396953
6.0,Tesla Model 3 ,235.06711107626802,3221.0,76.0,3.0929883036351056
7.0,Tesla Model 3 ,6618.625271215437,3163.0,76.20000000000073,86.8585993597818
8.0,Tesla Model 3 ,5693.917983414609,2999.0,76.20000000000073,74.72333311567657
9.0,Tesla Model 3 ,78.50424678537284,794.0,88.40000000000146,0.8880570903322573
1.0,Renault Scenic,343.1354898420089,2952.0,76.39999999999782,4.491302223063072
2.0,Renault Scenic,286.4108424006981,2667.0,75.79999999999927,3.778507155682069
3.0,Renault Scenic,383.1165233024999,2652.0,76.29999999999927,5.021186412876848
4.0,Renault Scenic,339.9101794579589,3001.0,76.0,4.472502361288933
5.0,Renault Scenic,165.03934259562956,2828.0,68.90000000000146,2.3953460463806397
6.0,Renault Scenic,306.4578633290605,3221.0,76.0,4.032340306961323
7.0,Renault Scenic,8628.726279510496,3163.0,76.20000000000073,113.2378776838637
8.0,Renault Scenic,7423.18196356275,2999.0,76.20000000000073,97.41708613599316
9.0,Renault Scenic,102.34627729056014,794.0,88.40000000000146,1.1577633177664983
1.0,Jeep Avenger,319.73988826187195,2952.0,76.39999999999782,4.18507707149059
2.0,Jeep Avenger,266.88283041883227,2667.0,75.79999999999927,3.520881667794655
3.0,Jeep Avenger,356.99494216823854,2652.0,76.29999999999927,4.6788327938170635
4.0,Jeep Avenger,316.73448540400716,3001.0,76.0,4.167559018473779
5.0,Jeep Avenger,153.78666014592756,2828.0,68.90000000000146,2.232026997763778
6.0,Jeep Avenger,285.56300901117004,3221.0,76.0,3.757408013304869
7.0,Jeep Avenger,8040.404033180235,3163.0,76.20000000000073,105.51711329632754
8.0,Jeep Avenger,6917.055920592562,2999.0,76.20000000000073,90.77501208126635
9.0,Jeep Avenger,95.36812202074923,794.0,88.40000000000146,1.0788249097369644
1.0,Peugeot E-2008,329.488055586929,2952.0,76.39999999999782,4.312670884645791
2.0,Peugeot E-2008,275.01950207794306,2667.0,75.79999999999927,3.6282256210810777
3.0,Peugeot E-2008,367.8789343075141,2652.0,76.29999999999927,4.821480135091974
4.0,Peugeot E-2008,326.39102459315376,3001.0,76.0,4.29461874464676
5.0,Peugeot E-2008,158.4752778333034,2828.0,68.90000000000146,2.3000766013541374
6.0,Peugeot E-2008,294.2691983102911,3221.0,76.0,3.8719631356617246
7.0,Peugeot E-2008,8285.53830248451,3163.0,76.20000000000073,108.73409845780094
8.0,Peugeot E-2008,7127.941771830141,2999.0,76.20000000000073,93.54254293740253
9.0,Peugeot E-2008,98.27568671650378,794.0,88.40000000000146,1.1117159130826038
1.0,Hyundai Kona Electric,319.73988826187195,2952.0,76.39999999999782,4.18507707149059
2.0,Hyundai Kona Electric,266.88283041883227,2667.0,75.79999999999927,3.520881667794655
3.0,Hyundai Kona Electric,356.99494216823854,2652.0,76.29999999999927,4.6788327938170635
4.0,Hyundai Kona Electric,316.73448540400716,3001.0,76.0,4.167559018473779
5.0,Hyundai Kona Electric,153.78666014592756,2828.0,68.90000000000146,2.232026997763778
6.0,Hyundai Kona Electric,285.56300901117004,3221.0,76.0,3.757408013304869
7.0,Hyundai Kona Electric,8040.404033180235,3163.0,76.20000000000073,105.51711329632754
8.0,Hyundai Kona Electric,6917.055920592562,2999.0,76.20000000000073,90.77501208126635
9.0,Hyundai Kona Electric,95.36812202074923,794.0,88.40000000000146,1.0788249097369644
1.0,Skoda Enyaq,319.73988826187195,2952.0,76.39999999999782,4.18507707149059
2.0,Skoda Enyaq,266.88283041883227,2667.0,75.79999999999927,3.520881667794655
3.0,Skoda Enyaq,356.99494216823854,2652.0,76.29999999999927,4.6788327938170635
4.0,Skoda Enyaq,316.73448540400716,3001.0,76.0,4.167559018473779
5.0,Skoda Enyaq,153.78666014592756,2828.0,68.90000000000146,2.232026997763778
6.0,Skoda Enyaq,285.56300901117004,3221.0,76.0,3.757408013304869
7.0,Skoda Enyaq,8040.404033180235,3163.0,76.20000000000073,105.51711329632754
8.0,Skoda Enyaq,6917.055920592562,2999.0,76.20000000000073,90.77501208126635
9.0,Skoda Enyaq,95.36812202074923,794.0,88.40000000000146,1.0788249097369644
1.0,Porsche Taycan,323.63915519189476,2952.0,76.39999999999782,4.23611459675267
2.0,Porsche Taycan,270.13749908247655,2667.0,75.79999999999927,3.5638192491092235
3.0,Porsche Taycan,361.3485390239488,2652.0,76.29999999999927,4.735891730327028
4.0,Porsche Taycan,320.5971010796658,3001.0,76.0,4.218382908942971
